Treatment,COPY_MUT_PROB,COPY_INS_PROB,COPY_DEL_PROB,DIVIDE_INS_PROB,DIVIDE_DEL_PROB,DIVIDE_SLIP_PROB,SLIP_FILL_MODE,Replicate #,Length,Task Coding Sites Average,Task Coding Sites Standard Deviation,Information Type,Information,Information Concentration
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,Task Count,52.0,0.52000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,gest_time,58.0,0.57999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,comp_merit,52.0,0.52000000000000002
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,merit,55.0,0.55000000000000004
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,fitness,68.0,0.68000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,efficiency,59.0,0.58999999999999997
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2016,100,27.920000000000002,8.4423693356782259,viable,12.0,0.12
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,Task Count,73.0,0.19414893617021275
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,gest_time,98.0,0.26063829787234044
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,comp_merit,73.0,0.19414893617021275
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,merit,90.0,0.23936170212765959
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,fitness,107.0,0.28457446808510639
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,efficiency,98.0,0.26063829787234044
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2010,376,43.833333333333336,7.4925889309963409,viable,31.0,0.082446808510638292
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,Task Count,73.0,0.72999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,gest_time,71.0,0.70999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,comp_merit,73.0,0.72999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,merit,73.0,0.72999999999999998
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,fitness,93.0,0.93000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,efficiency,71.0,0.70999999999999996
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2022,100,23.608695652173914,12.579276022696952,viable,19.0,0.19
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2026,100,27.5,9.9121138007995047,Task Count,56.0,0.56000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2026,100,27.5,9.9121138007995047,gest_time,63.0,0.63
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2026,100,27.5,9.9121138007995047,comp_merit,56.0,0.56000000000000005
Slip-NOP,0.0,0.0,0.0,0.0,0.0,0.05,1,2026,100,27.5,9.9121138007995047,merit,57.0,0.56999999999999995
